scope,factor,factor_column,blockchain,level,metric,statistic,aggregation,total_configuration_cells,contributing_configuration_cells,metric_observations,minimum_n_metric,maximum_n_metric,point_estimate,ci_lower,ci_upper
six_workloads,topology,mode,Diem,torus,tps_positive_commit,iqr_pct,mean,12,12,144,9,13,17.477797173165943,11.329108875289844,23.768695228803086
six_workloads,topology,mode,Diem,torus,tps_positive_commit,iqr_pct,median,12,12,144,9,13,10.47775847114428,5.8750701327077435,14.307339002442161
six_workloads,topology,mode,Diem,torus,tps_positive_commit,sample_std_pct,mean,12,12,144,9,13,16.971960312794874,11.88540996482287,19.158705993697467
six_workloads,topology,mode,Diem,torus,tps_positive_commit,sample_std_pct,median,12,12,144,9,13,15.939893849813767,6.722079107384323,17.43003507275889
six_workloads,topology,mode,Ethereum,fat-tree,tps_positive_commit,iqr_pct,mean,12,12,158,13,14,27.394027293209973,20.143331308117233,38.89937000388388
six_workloads,topology,mode,Ethereum,fat-tree,tps_positive_commit,iqr_pct,median,12,12,158,13,14,13.045756312410724,10.816590189017948,30.277617820091454
six_workloads,topology,mode,Ethereum,fat-tree,tps_positive_commit,sample_std_pct,mean,12,12,158,13,14,25.75777367052899,20.237325608408927,28.373971666866673
six_workloads,topology,mode,Ethereum,fat-tree,tps_positive_commit,sample_std_pct,median,12,12,158,13,14,20.491168457844566,13.19510921047432,25.324691026819426
six_workloads,topology,mode,Ethereum,full mesh,tps_positive_commit,iqr_pct,mean,12,12,154,11,13,24.5861044226381,17.469646594466916,30.963195301463266
six_workloads,topology,mode,Ethereum,full mesh,tps_positive_commit,iqr_pct,median,12,12,154,11,13,19.213187974324587,12.087395990036704,26.400255942918697
six_workloads,topology,mode,Ethereum,full mesh,tps_positive_commit,sample_std_pct,mean,12,12,154,11,13,19.78370243291047,16.01593853767764,21.346808543909184
six_workloads,topology,mode,Ethereum,full mesh,tps_positive_commit,sample_std_pct,median,12,12,154,11,13,16.419486105625275,11.92764489102764,18.61396006569291
