blockchain,mode,workload,cores,ram,secondaries,dataset,link_strategy,network_size,dynamic,metric,statistic,n_metric,point_estimate,ci_lower,ci_upper
Algorand,full mesh,GAFAM,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,17.411779096079744,6.403921172560588,33.766385356532616
Algorand,full mesh,GAFAM,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,14.489131606529062,8.693225265770542,18.767275571131737
Algorand,full mesh,Gaming,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,10.901699926090169,1.6253185998962818,39.73987962902441
Algorand,full mesh,Gaming,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,17.149210912085167,9.3464907150745,22.396201161938766
Algorand,full mesh,Gaming,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,15.724767003767608,5.7360677242741485,64.12284627395816
Algorand,full mesh,Gaming,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,25.689113363738006,10.7692034585006,36.19432861755686
Algorand,full mesh,PayPal,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,1.2482995919020594,0.10370547644688492,1.3512460049399333
Algorand,full mesh,PayPal,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,0.6522465125051266,0.49108863377886985,0.678769173686883
Algorand,full mesh,PayPal,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,0.7798128449172198,0.2590983377845099,1.3536243492190596
Algorand,full mesh,PayPal,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,0.5799251822010211,0.2928186869499328,0.7596054353826196
Algorand,full mesh,VISA,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,2.0767638601414147,0.1815602524481664,4.211578897171266
Algorand,full mesh,VISA,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,3.9136390410510384,0.9170021144302893,5.882062821755271
Algorand,full mesh,VISA,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,11.973843620887827,4.259147914843378,21.618564418555103
Algorand,full mesh,VISA,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,9.169373203170046,5.536047835023593,11.188190127805123
Algorand,hypercube,DDoS,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,8.035099096178008,3.043859692056272,15.373012277818521
