blockchain,mode,workload,cores,ram,secondaries,dataset,link_strategy,network_size,dynamic,average_throughput_count,average_throughput_mean,average_throughput_max,average_throughput_min,average_throughput_q25,average_throughput_q75,average_throughput_std,average_latency_count,average_latency_mean,average_latency_max,average_latency_min,average_latency_q25,average_latency_q75,average_latency_std,energy_count,energy_mean,energy_max,energy_min,energy_q25,energy_q75,energy_std,commit_number_mean,average_throughput_min_perc,average_throughput_max_perc,average_throughput_iqr,average_throughput_iqr_perc,average_throughput_delta_abs,average_throughput_std_perc,average_latency_min_perc,average_latency_max_perc,average_latency_iqr,average_latency_iqr_perc,average_latency_delta_abs,average_latency_std_perc,energy_min_perc,energy_max_perc,energy_iqr,energy_iqr_perc,energy_delta_abs,energy_std_perc
Quorum,hypercube,DDoS,8,16,10,2023,hop,10 nodes,0,13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13,10.4056,12.6375,7.8529,9.3569,11.6277,1.5075,0.0000,,,0.0000,,0.0000,,,,0.0000,,0.0000,,-24.5314,21.4493,2.2708,21.8231,4.7846,14.4874
Quorum,hypercube,DDoS,8,16,10,2023,hop,40 nodes,0,13,0.3231,4.2000,0.0000,0.0000,0.0000,1.1649,13,1.8077,23.5000,0.0000,0.0000,0.0000,6.5177,13,10.1809,14.0080,7.4911,8.7204,10.9673,1.9959,38.4615,,1200.0000,0.0000,0.0000,4.2000,360.5551,,1200.0000,0.0000,0.0000,23.5000,360.5551,-26.4206,37.5909,2.2469,22.0695,6.5170,19.6047
Quorum,hypercube,FIFA,8,16,10,2023,hop,10 nodes,0,14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14,9.4190,11.1571,8.0137,8.5268,10.2260,1.1147,0.0000,,,0.0000,,0.0000,,,,0.0000,,0.0000,,-14.9197,18.4522,1.6992,18.0397,3.1433,11.8345
Quorum,hypercube,FIFA,8,16,10,2023,hop,40 nodes,0,13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13,9.2997,11.2807,6.0256,7.7886,10.8470,1.6449,0.0000,,,0.0000,,0.0000,,,,0.0000,,0.0000,,-35.2068,21.3018,3.0584,32.8873,5.2551,17.6871
Quorum,hypercube,GAFAM,8,16,10,2023,hop,10 nodes,0,13,82.9615,166.6000,22.8000,48.3000,107.7000,46.6249,13,99.0777,150.6000,32.7400,80.7500,131.5100,37.2499,13,14.9136,17.7883,11.7483,13.6828,16.4282,2.0284,15000.3077,-72.5174,100.8159,59.4000,71.5994,143.8000,56.2006,-66.9552,52.0019,50.7600,51.2325,117.8600,37.5966,-21.2243,19.2756,2.7454,18.4087,6.0400,13.6012
Quorum,hypercube,GAFAM,8,16,10,2023,hop,40 nodes,0,13,3.3077,31.8000,0.0000,0.0000,1.5000,8.8231,13,17.3677,143.1200,0.0000,0.0000,8.5000,39.2987,13,14.1062,18.3074,11.7970,13.1237,14.9664,1.8075,598.5385,,861.3953,1.5000,45.3488,31.8000,266.7455,,724.0588,8.5000,48.9414,143.1200,226.2749,-16.3701,29.7827,1.8427,13.0628,6.5104,12.8136
Quorum,hypercube,Gaming,8,16,10,2023,hop,10 nodes,0,17,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17,20.4858,28.0097,14.2752,18.8688,21.6950,3.2445,0.0000,,,0.0000,,0.0000,,,,0.0000,,0.0000,,-30.3169,36.7274,2.8262,13.7959,13.7346,15.8377
Quorum,hypercube,Gaming,8,16,10,2023,hop,40 nodes,0,13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13,21.5155,26.0085,15.6792,20.7781,22.6357,2.4616,0.0000,,,0.0000,,0.0000,,,,0.0000,,0.0000,,-27.1260,20.8827,1.8576,8.6336,10.3293,11.4411
Quorum,hypercube,PayPal,8,16,10,2023,hop,10 nodes,0,17,182.6647,198.2000,80.9000,195.2000,197.7000,33.6148,17,13.4841,90.7400,5.4400,7.0200,9.3900,20.1849,17,23.7825,31.1820,19.8558,21.1855,25.4198,3.1365,54791.1765,-55.7112,8.5048,2.5000,1.3686,117.3000,18.4025,-59.6562,572.9398,2.3700,17.5762,85.3000,149.6940,-16.5108,31.1129,4.2344,17.8045,11.3261,13.1881
Quorum,hypercube,PayPal,8,16,10,2023,hop,40 nodes,0,13,197.6462,198.1000,195.7000,197.5000,197.9000,0.6186,13,5.0308,5.1700,4.9600,5.0100,5.0400,0.0504,13,22.9131,27.7975,15.2547,20.0066,26.0955,3.9950,59288.7692,-0.9847,0.2296,0.4000,0.2024,2.4000,0.3130,-1.4067,2.7676,0.0300,0.5963,0.2100,1.0020,-33.4238,21.3169,6.0888,26.5736,12.5428,17.4355
