blockchain,mode,workload,cores,ram,secondaries,dataset,link_strategy,network_size,dynamic,n_observed,n_submitted,n_positive_commit,n_zero_commit,n_no_submission,n_inconsistent,n_tps_valid,n_tps_censored,n_tps_point_valid,n_latency_valid,n_energy_valid_observed,n_energy_valid_positive_commit,n_network_valid_observed,service_regime_derived,display_count
Algorand,hypercube,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Algorand,hypercube,Gaming,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Algorand,hypercube,PayPal,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Algorand,hypercube,PayPal,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Algorand,hypercube,VISA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Algorand,hypercube,VISA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Algorand,scale-free,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Algorand,scale-free,DDoS,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Algorand,scale-free,FIFA,8,16,10,2023,hop,10 nodes,0,17,17,17,0,0,0,17,0,17,17,17,17,17,all_positive_commit,17/0/0
Algorand,scale-free,FIFA,8,16,10,2023,hop,40 nodes,0,11,11,11,0,0,0,11,0,11,11,11,11,11,all_positive_commit,11/0/0
Algorand,scale-free,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Algorand,scale-free,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Algorand,scale-free,Gaming,8,16,10,2023,hop,10 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit,12/0/0
Algorand,scale-free,Gaming,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Algorand,scale-free,PayPal,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Algorand,scale-free,PayPal,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Algorand,scale-free,VISA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Algorand,scale-free,VISA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Algorand,torus,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Algorand,torus,DDoS,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Algorand,torus,FIFA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Algorand,torus,FIFA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Algorand,torus,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Algorand,torus,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Algorand,torus,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Algorand,torus,Gaming,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Algorand,torus,PayPal,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Algorand,torus,PayPal,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Algorand,torus,VISA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Algorand,torus,VISA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Diem,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Diem,fat-tree,DDoS,8,16,10,2023,hop,40 nodes,0,20,20,20,0,0,0,20,0,20,20,20,20,20,all_positive_commit,20/0/0
Diem,fat-tree,FIFA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Diem,fat-tree,FIFA,8,16,10,2023,hop,40 nodes,0,21,21,21,0,0,0,21,0,21,21,21,21,21,all_positive_commit,21/0/0
Diem,fat-tree,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Diem,fat-tree,GAFAM,8,16,10,2023,hop,40 nodes,0,19,19,19,0,0,0,19,0,19,19,19,19,19,all_positive_commit,19/0/0
Diem,fat-tree,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Diem,fat-tree,Gaming,8,16,10,2023,hop,40 nodes,0,25,25,25,0,0,0,25,0,25,25,25,25,25,all_positive_commit,25/0/0
Diem,fat-tree,PayPal,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Diem,fat-tree,PayPal,8,16,10,2023,hop,40 nodes,0,23,23,23,0,0,0,23,0,23,23,23,23,23,all_positive_commit,23/0/0
Diem,fat-tree,VISA,8,16,10,2023,hop,10 nodes,0,11,11,11,0,0,0,11,0,11,11,11,11,11,all_positive_commit,11/0/0
Diem,fat-tree,VISA,8,16,10,2023,hop,40 nodes,0,23,23,23,0,0,0,23,0,23,23,23,23,23,all_positive_commit,23/0/0
Diem,full mesh,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Diem,full mesh,DDoS,8,16,10,2023,hop,40 nodes,0,11,11,11,0,0,0,11,0,11,11,11,11,11,all_positive_commit,11/0/0
Diem,full mesh,FIFA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Diem,full mesh,FIFA,8,16,10,2023,hop,40 nodes,0,11,11,11,0,0,0,11,0,11,11,11,11,11,all_positive_commit,11/0/0
Diem,full mesh,GAFAM,8,16,10,2023,hop,10 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit,12/0/0
Diem,full mesh,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Diem,full mesh,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Diem,full mesh,Gaming,8,16,10,2023,hop,40 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit,12/0/0
Diem,full mesh,PayPal,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Diem,full mesh,PayPal,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Diem,full mesh,VISA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Diem,full mesh,VISA,8,16,10,2023,hop,40 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit,12/0/0
Diem,hypercube,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Diem,hypercube,DDoS,8,16,10,2023,hop,40 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit,12/0/0
Diem,hypercube,FIFA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Diem,hypercube,FIFA,8,16,10,2023,hop,40 nodes,0,9,9,9,0,0,0,9,0,9,9,9,9,9,all_positive_commit,9/0/0
Diem,hypercube,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Diem,hypercube,GAFAM,8,16,10,2023,hop,40 nodes,0,10,10,10,0,0,0,10,0,10,10,10,10,10,all_positive_commit,10/0/0
Diem,hypercube,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Diem,hypercube,Gaming,8,16,10,2023,hop,40 nodes,0,10,10,10,0,0,0,10,0,10,10,10,10,10,all_positive_commit,10/0/0
Diem,hypercube,PayPal,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Diem,hypercube,PayPal,8,16,10,2023,hop,40 nodes,0,11,11,11,0,0,0,11,0,11,11,11,11,11,all_positive_commit,11/0/0
Diem,hypercube,VISA,8,16,10,2023,hop,10 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit,12/0/0
Diem,hypercube,VISA,8,16,10,2023,hop,40 nodes,0,9,9,9,0,0,0,9,0,9,9,9,9,9,all_positive_commit,9/0/0
Diem,scale-free,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Diem,scale-free,DDoS,8,16,10,2023,hop,40 nodes,0,19,19,18,1,0,0,18,0,18,18,19,18,19,mixed_outcomes,18/1/0
Diem,scale-free,FIFA,8,16,10,2023,hop,10 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit,12/0/0
Diem,scale-free,FIFA,8,16,10,2023,hop,40 nodes,0,18,18,18,0,0,0,18,0,18,18,18,18,18,all_positive_commit,18/0/0
Diem,scale-free,GAFAM,8,16,10,2023,hop,10 nodes,0,14,14,14,0,0,0,14,0,14,14,14,14,14,all_positive_commit,14/0/0
Diem,scale-free,GAFAM,8,16,10,2023,hop,40 nodes,0,16,16,16,0,0,0,16,0,16,16,16,16,16,all_positive_commit,16/0/0
Diem,scale-free,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Diem,scale-free,Gaming,8,16,10,2023,hop,40 nodes,0,17,17,17,0,0,0,17,0,17,17,17,17,17,all_positive_commit,17/0/0
Diem,scale-free,PayPal,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Diem,scale-free,PayPal,8,16,10,2023,hop,40 nodes,0,19,19,19,0,0,0,19,0,19,19,19,19,19,all_positive_commit,19/0/0
Diem,scale-free,VISA,8,16,10,2023,hop,10 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit,12/0/0
Diem,scale-free,VISA,8,16,10,2023,hop,40 nodes,0,19,19,19,0,0,0,19,0,19,19,19,19,19,all_positive_commit,19/0/0
Diem,torus,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Diem,torus,DDoS,8,16,10,2023,hop,40 nodes,0,10,10,10,0,0,0,10,0,10,10,10,10,10,all_positive_commit,10/0/0
Diem,torus,FIFA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Diem,torus,FIFA,8,16,10,2023,hop,40 nodes,0,9,9,9,0,0,0,9,0,9,9,9,9,9,all_positive_commit,9/0/0
Diem,torus,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Diem,torus,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Diem,torus,Gaming,8,16,10,2023,hop,10 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit,12/0/0
Diem,torus,Gaming,8,16,10,2023,hop,40 nodes,0,11,11,11,0,0,0,11,0,11,11,11,11,11,all_positive_commit,11/0/0
Diem,torus,PayPal,8,16,10,2023,hop,10 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit,12/0/0
Diem,torus,PayPal,8,16,10,2023,hop,40 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit,12/0/0
Diem,torus,VISA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Diem,torus,VISA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,fat-tree,DDoS,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,fat-tree,FIFA,8,16,10,2023,hop,10 nodes,0,14,14,14,0,0,0,14,0,14,14,14,14,14,all_positive_commit,14/0/0
Ethereum,fat-tree,FIFA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,fat-tree,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,fat-tree,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,fat-tree,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,fat-tree,Gaming,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,fat-tree,PayPal,8,16,10,2023,hop,10 nodes,0,14,14,14,0,0,0,14,0,14,14,14,14,14,all_positive_commit,14/0/0
Ethereum,fat-tree,PayPal,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,fat-tree,VISA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,fat-tree,VISA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,full mesh,DDoS,8,16,10,2023,hop,10 nodes,0,11,11,11,0,0,0,11,0,11,11,11,11,11,all_positive_commit,11/0/0
Ethereum,full mesh,DDoS,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,full mesh,FIFA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,full mesh,FIFA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,full mesh,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,full mesh,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,full mesh,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,full mesh,Gaming,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,full mesh,PayPal,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,full mesh,PayPal,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,full mesh,VISA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,full mesh,VISA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,hypercube,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,hypercube,DDoS,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,hypercube,FIFA,8,16,10,2023,hop,10 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit,12/0/0
Ethereum,hypercube,FIFA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,hypercube,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,hypercube,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,hypercube,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,hypercube,Gaming,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,hypercube,PayPal,8,16,10,2023,hop,10 nodes,0,14,14,14,0,0,0,14,0,14,14,14,14,14,all_positive_commit,14/0/0
Ethereum,hypercube,PayPal,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,hypercube,VISA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,hypercube,VISA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,scale-free,DDoS,8,16,10,2023,hop,10 nodes,0,14,14,14,0,0,0,14,0,14,14,14,14,14,all_positive_commit,14/0/0
Ethereum,scale-free,DDoS,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,scale-free,FIFA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,scale-free,FIFA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,scale-free,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,scale-free,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,scale-free,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,scale-free,Gaming,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,scale-free,PayPal,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,scale-free,PayPal,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,scale-free,VISA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,scale-free,VISA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,torus,DDoS,8,16,10,2023,hop,10 nodes,0,14,14,14,0,0,0,14,0,14,14,14,14,14,all_positive_commit,14/0/0
Ethereum,torus,DDoS,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,torus,FIFA,8,16,10,2023,hop,10 nodes,0,16,16,16,0,0,0,16,0,16,16,16,16,16,all_positive_commit,16/0/0
Ethereum,torus,FIFA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,torus,GAFAM,8,16,10,2023,hop,10 nodes,0,15,15,15,0,0,0,15,0,15,15,15,15,15,all_positive_commit,15/0/0
Ethereum,torus,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,torus,Gaming,8,16,10,2023,hop,10 nodes,0,15,14,14,0,1,0,14,0,14,14,15,14,15,mixed_outcomes,14/0/1
Ethereum,torus,Gaming,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,torus,PayPal,8,16,10,2023,hop,10 nodes,0,15,15,15,0,0,0,15,0,15,15,15,15,15,all_positive_commit,15/0/0
Ethereum,torus,PayPal,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Ethereum,torus,VISA,8,16,10,2023,hop,10 nodes,0,15,15,15,0,0,0,15,0,15,15,15,15,15,all_positive_commit,15/0/0
Ethereum,torus,VISA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,13/0/0
Quorum,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,0,13,0,0,0,0,0,0,13,0,13,no_positive_commit,0/13/0
Quorum,fat-tree,DDoS,8,16,10,2023,hop,40 nodes,0,13,13,0,13,0,0,0,0,0,0,13,0,13,no_positive_commit,0/13/0
