scope,factor,level,metric,statistic,aggregation,configuration_count,primary_value,defined_repetitions,median,q025,q975,minimum,maximum
six_workloads,blockchain,Algorand,tps_positive_commit,mean,mean,60,273.4792755324741,5000,273.50953703703703,271.1488657407407,275.8144675925926,269.1711111111111,277.59203703703696
six_workloads,blockchain,Algorand,tps_positive_commit,mean,median,60,192.51538461538462,5000,192.55555555555557,192.3388888888889,192.81111111111107,192.21666666666664,193.02222222222224
six_workloads,blockchain,Algorand,tps_positive_commit,iqr_pct,mean,60,28.85246432008164,5000,28.045775335968898,25.162843816042532,30.793867180150162,22.855525714602184,33.70153087859285
six_workloads,blockchain,Algorand,tps_positive_commit,iqr_pct,median,60,16.284861799529587,5000,15.433549379940802,12.42493545153618,18.765349495938594,10.377966037309424,23.652146547619935
six_workloads,blockchain,Algorand,tps_positive_commit,sample_std_pct,mean,60,23.73678560874192,5000,23.65970076264693,22.23878649134002,24.97347732268313,20.7853443839797,26.32590944827839
six_workloads,blockchain,Algorand,tps_positive_commit,sample_std_pct,median,60,18.272723810483427,5000,16.903581102158984,14.28476202860619,20.16610630577719,12.590177373109626,21.79876836144596
six_workloads,blockchain,Algorand,tps_positive_commit,delta_min_pct,mean,60,-39.02892978941457,5000,-35.71002019061058,-37.30084582748836,-33.72648679421587,-38.118460688722436,-31.10905137016324
six_workloads,blockchain,Algorand,tps_positive_commit,delta_min_pct,median,60,-35.59836751305764,5000,-29.260236730939596,-34.026508299819724,-25.286766240036144,-37.45109548770815,-19.583529390165275
six_workloads,blockchain,Algorand,tps_positive_commit,delta_max_pct,mean,60,38.659521415658716,5000,34.56020327089864,31.359593529508743,37.92118262336646,28.85121592915351,40.66098085379569
six_workloads,blockchain,Algorand,tps_positive_commit,delta_max_pct,median,60,23.548863234861305,5000,22.02582118129996,19.138365039467708,25.11571858225797,16.92450642428903,28.076580285195327
six_workloads,blockchain,Algorand,tps_positive_commit,range_abs,mean,60,132.21833333333333,5000,119.16416666666663,113.38116666666667,124.01712499999998,108.02999999999996,126.84333333333335
six_workloads,blockchain,Algorand,tps_positive_commit,range_abs,median,60,128.20000000000002,5000,116.35000000000002,104.35,124.39999999999999,92.14999999999998,128.20000000000002
six_workloads,blockchain,Algorand,tps_positive_commit,wcd_abs,mean,60,78.89924705604854,5000,70.79611111111112,66.73617129629628,74.34000462962965,61.55796296296298,77.03037037037036
six_workloads,blockchain,Algorand,tps_positive_commit,wcd_abs,median,60,75.96025641025639,5000,68.36111111111111,63.07166666666667,74.23888888888888,56.52222222222224,81.64444444444445
six_workloads,blockchain,Algorand,tps_positive_commit,wcd_pct,mean,60,46.91810116845535,5000,42.03987345815965,38.81075122318285,45.38334627311913,35.30616800922609,48.020756766245675
six_workloads,blockchain,Algorand,tps_positive_commit,wcd_pct,median,60,36.26155280730408,5000,30.29834529313921,25.75125736265135,35.57709362753999,22.591402809037433,39.27426603909592
