blockchain,mode,workload,cores,ram,secondaries,dataset,link_strategy,network_size,dynamic,metric,statistic,primary_value,defined_repetitions,median,q025,q975,minimum,maximum
Algorand,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,n_metric,13.0,5000,9.0,9.0,9.0,9.0,9.0
Algorand,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,mean,676.8461538461538,5000,676.7111111111111,658.2222222222222,698.3222222222222,651.6999999999999,708.0666666666667
Algorand,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,9.426071144448244,5000,9.430584525432367,4.669072630018696,18.046975653265495,4.602703174880491,18.239182692307693
Algorand,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,8.360509572553,5000,8.4032475200491,5.759653596443144,9.90673933980004,3.796510410721893,10.147665222895865
Algorand,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,delta_min_pct,-15.268780543243546,5000,-14.459967147527113,-16.892087720993146,-11.25636727061704,-17.857597555541414,-5.945997549682576
Algorand,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,delta_max_pct,9.995454028866922,5000,9.52824637112593,6.550596277419686,12.454685821697113,5.145466528575456,13.358371821550021
Algorand,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,range_abs,171.0,5000,162.0,123.79999999999995,171.0,78.70000000000005,171.0
Algorand,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,wcd_abs,103.34615384615381,5000,97.67777777777775,77.58888888888873,116.56666666666672,41.52222222222224,124.6777777777778
Algorand,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,wcd_pct,15.268780543243546,5000,14.459967147527113,11.25636727061704,16.892087720993146,5.945997549682576,17.857597555541414
Algorand,fat-tree,DDoS,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,n_metric,13.0,5000,9.0,9.0,9.0,9.0,9.0
