metric,eligible_configurations,decomposable_configurations,strict_configurations,between_hash_fraction_q1,between_hash_fraction_median,between_hash_fraction_q3,between_hash_fraction_weighted
TPS,251,245,221,0.10143990904029268,0.20638526259929338,0.43244184926145424,0.39764763496071676
Latency,251,245,221,0.08519871639794593,0.1906410810133389,0.38979044952714886,0.47240425705240563
Energy,251,245,221,0.07256879798144521,0.15714345887213713,0.2717443954302972,0.1913675619247025
