scope,blockchain,metric,n_observations,n_configurations,icc,between_configuration_variance,within_configuration_variance,converged,warnings,ci_lower,ci_upper,bootstrap_repetitions,bootstrap_converged,bootstrap_failures,seed
six_workloads,Algorand,Energy,787,60,0.8536835367543684,0.13816499148486872,0.023680687313342816,True,[],0.8246477147692467,0.8720920189311401,1000,1000,0,20260918
six_workloads,Algorand,Latency,787,60,0.9073395561235059,0.44947417074056706,0.04590175297743868,True,[],0.8509565178716564,0.9422083969444963,1000,1000,0,20260917
six_workloads,Algorand,TPS,787,60,0.7177589262137287,0.6568810670009937,0.2583023504538422,True,[],0.5980337481828341,0.8268463669870105,1000,1000,0,20260916
six_workloads,Diem,Energy,822,60,0.8569162422976121,0.13410306558546595,0.02239188568993673,True,[],0.8203588575515789,0.8807406848299859,1000,1000,0,20260921
six_workloads,Diem,Latency,822,60,0.9408323847823167,0.7377541805688627,0.04639631478165523,True,[],0.8817028507123641,0.9716198594208015,1000,1000,0,20260920
six_workloads,Diem,TPS,822,60,0.9137780642380151,0.8922365277166121,0.08418932735207336,True,[],0.8630560572954548,0.9371166390844338,1000,1000,0,20260919
six_workloads,Ethereum,Energy,792,60,0.8578818036484592,0.13454031301252792,0.022288182988139713,True,[],0.8195049974790348,0.8783761737860116,1000,1000,0,20260924
six_workloads,Ethereum,Latency,792,60,0.8751517610604053,0.6745301109076544,0.0962277632356127,True,[],0.8013423450773159,0.9244341538711112,1000,1000,0,20260923
six_workloads,Ethereum,TPS,792,60,0.9020265935711397,1.0969552662545679,0.11914553839211343,True,[],0.8517855979962253,0.935438080023359,1000,1000,0,20260922
six_workloads,Quorum,Energy,326,31,0.685052724492204,0.04584806892918445,0.021078267234458103,True,[],0.5878076789956114,0.7363507994024089,1000,1000,0,20260927
six_workloads,Quorum,Latency,326,31,0.6793147137676983,1.1820443674024168,0.5580097539729587,True,[],0.0,0.8103614366997495,1000,1000,0,20260926
six_workloads,Quorum,TPS,320,31,0.8434765483275668,3.3223181962278074,0.6165206521257743,True,[],0.7648322005207667,0.8898429449285932,1000,1000,0,20260925
six_workloads,Solana,Energy,398,40,0.854946504365688,0.11888529097937552,0.020170533417006208,True,[],0.8075324420746963,0.8819581941616825,1000,1000,0,20260930
six_workloads,Solana,Latency,398,40,0.7205530428975505,0.14563771544643997,0.05648163840541378,True,[],0.0,0.8512685806996458,1000,1000,0,20260929
six_workloads,Solana,TPS,397,40,0.8517406725578311,2.597288877624784,0.45210040400357987,True,[],0.7161573498233185,0.9256189310773394,1000,1000,0,20260928
