blockchain,mode,workload,cores,ram,secondaries,dataset,link_strategy,network_size,dynamic,n_observed,n_submitted,n_positive_commit,n_zero_commit,n_no_submission,n_inconsistent,n_tps_valid,n_tps_censored,n_tps_point_valid,n_latency_valid,n_energy_valid_observed,n_energy_valid_positive_commit,n_network_valid_observed,service_regime_derived
Algorand,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,fat-tree,DDoS,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,fat-tree,FIFA,8,16,10,2023,hop,10 nodes,0,16,16,16,0,0,0,16,0,16,16,16,16,16,all_positive_commit
Algorand,fat-tree,FIFA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,fat-tree,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,fat-tree,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,fat-tree,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,fat-tree,Gaming,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,fat-tree,PayPal,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,fat-tree,PayPal,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,fat-tree,VISA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,fat-tree,VISA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,full mesh,DDoS,8,16,10,2023,hop,10 nodes,0,14,14,14,0,0,0,14,0,14,14,14,14,14,all_positive_commit
Algorand,full mesh,DDoS,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,full mesh,FIFA,8,16,10,2023,hop,10 nodes,0,14,14,14,0,0,0,14,0,14,14,14,14,14,all_positive_commit
Algorand,full mesh,FIFA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,full mesh,GAFAM,8,16,10,2023,hop,10 nodes,0,14,14,14,0,0,0,14,0,14,14,14,14,14,all_positive_commit
Algorand,full mesh,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,full mesh,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,full mesh,Gaming,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,full mesh,PayPal,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,full mesh,PayPal,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,full mesh,VISA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,full mesh,VISA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,hypercube,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,hypercube,DDoS,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,hypercube,FIFA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,hypercube,FIFA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,hypercube,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,hypercube,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,hypercube,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,hypercube,Gaming,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,hypercube,PayPal,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,hypercube,PayPal,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,hypercube,VISA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,hypercube,VISA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,scale-free,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,scale-free,DDoS,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,scale-free,FIFA,8,16,10,2023,hop,10 nodes,0,17,17,17,0,0,0,17,0,17,17,17,17,17,all_positive_commit
Algorand,scale-free,FIFA,8,16,10,2023,hop,40 nodes,0,11,11,11,0,0,0,11,0,11,11,11,11,11,all_positive_commit
Algorand,scale-free,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,scale-free,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,scale-free,Gaming,8,16,10,2023,hop,10 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit
Algorand,scale-free,Gaming,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,scale-free,PayPal,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,scale-free,PayPal,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,scale-free,VISA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,scale-free,VISA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,torus,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,torus,DDoS,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,torus,FIFA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,torus,FIFA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,torus,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,torus,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,torus,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,torus,Gaming,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,torus,PayPal,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,torus,PayPal,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,torus,VISA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Algorand,torus,VISA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Diem,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Diem,fat-tree,DDoS,8,16,10,2023,hop,40 nodes,0,20,20,20,0,0,0,20,0,20,20,20,20,20,all_positive_commit
Diem,fat-tree,FIFA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Diem,fat-tree,FIFA,8,16,10,2023,hop,40 nodes,0,21,21,21,0,0,0,21,0,21,21,21,21,21,all_positive_commit
Diem,fat-tree,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Diem,fat-tree,GAFAM,8,16,10,2023,hop,40 nodes,0,19,19,19,0,0,0,19,0,19,19,19,19,19,all_positive_commit
Diem,fat-tree,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Diem,fat-tree,Gaming,8,16,10,2023,hop,40 nodes,0,25,25,25,0,0,0,25,0,25,25,25,25,25,all_positive_commit
Diem,fat-tree,PayPal,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Diem,fat-tree,PayPal,8,16,10,2023,hop,40 nodes,0,23,23,23,0,0,0,23,0,23,23,23,23,23,all_positive_commit
Diem,fat-tree,VISA,8,16,10,2023,hop,10 nodes,0,11,11,11,0,0,0,11,0,11,11,11,11,11,all_positive_commit
Diem,fat-tree,VISA,8,16,10,2023,hop,40 nodes,0,23,23,23,0,0,0,23,0,23,23,23,23,23,all_positive_commit
Diem,full mesh,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Diem,full mesh,DDoS,8,16,10,2023,hop,40 nodes,0,11,11,11,0,0,0,11,0,11,11,11,11,11,all_positive_commit
Diem,full mesh,FIFA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Diem,full mesh,FIFA,8,16,10,2023,hop,40 nodes,0,11,11,11,0,0,0,11,0,11,11,11,11,11,all_positive_commit
Diem,full mesh,GAFAM,8,16,10,2023,hop,10 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit
Diem,full mesh,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Diem,full mesh,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Diem,full mesh,Gaming,8,16,10,2023,hop,40 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit
Diem,full mesh,PayPal,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Diem,full mesh,PayPal,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Diem,full mesh,VISA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Diem,full mesh,VISA,8,16,10,2023,hop,40 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit
Diem,hypercube,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Diem,hypercube,DDoS,8,16,10,2023,hop,40 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit
Diem,hypercube,FIFA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Diem,hypercube,FIFA,8,16,10,2023,hop,40 nodes,0,9,9,9,0,0,0,9,0,9,9,9,9,9,all_positive_commit
Diem,hypercube,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Diem,hypercube,GAFAM,8,16,10,2023,hop,40 nodes,0,10,10,10,0,0,0,10,0,10,10,10,10,10,all_positive_commit
Diem,hypercube,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Diem,hypercube,Gaming,8,16,10,2023,hop,40 nodes,0,10,10,10,0,0,0,10,0,10,10,10,10,10,all_positive_commit
Diem,hypercube,PayPal,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Diem,hypercube,PayPal,8,16,10,2023,hop,40 nodes,0,11,11,11,0,0,0,11,0,11,11,11,11,11,all_positive_commit
Diem,hypercube,VISA,8,16,10,2023,hop,10 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit
Diem,hypercube,VISA,8,16,10,2023,hop,40 nodes,0,9,9,9,0,0,0,9,0,9,9,9,9,9,all_positive_commit
Diem,scale-free,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Diem,scale-free,DDoS,8,16,10,2023,hop,40 nodes,0,19,19,18,1,0,0,18,0,18,18,19,18,19,mixed_outcomes
Diem,scale-free,FIFA,8,16,10,2023,hop,10 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit
Diem,scale-free,FIFA,8,16,10,2023,hop,40 nodes,0,18,18,18,0,0,0,18,0,18,18,18,18,18,all_positive_commit
Diem,scale-free,GAFAM,8,16,10,2023,hop,10 nodes,0,14,14,14,0,0,0,14,0,14,14,14,14,14,all_positive_commit
Diem,scale-free,GAFAM,8,16,10,2023,hop,40 nodes,0,16,16,16,0,0,0,16,0,16,16,16,16,16,all_positive_commit
Diem,scale-free,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Diem,scale-free,Gaming,8,16,10,2023,hop,40 nodes,0,17,17,17,0,0,0,17,0,17,17,17,17,17,all_positive_commit
Diem,scale-free,PayPal,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Diem,scale-free,PayPal,8,16,10,2023,hop,40 nodes,0,19,19,19,0,0,0,19,0,19,19,19,19,19,all_positive_commit
Diem,scale-free,VISA,8,16,10,2023,hop,10 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit
Diem,scale-free,VISA,8,16,10,2023,hop,40 nodes,0,19,19,19,0,0,0,19,0,19,19,19,19,19,all_positive_commit
Diem,torus,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Diem,torus,DDoS,8,16,10,2023,hop,40 nodes,0,10,10,10,0,0,0,10,0,10,10,10,10,10,all_positive_commit
Diem,torus,FIFA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Diem,torus,FIFA,8,16,10,2023,hop,40 nodes,0,9,9,9,0,0,0,9,0,9,9,9,9,9,all_positive_commit
Diem,torus,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Diem,torus,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Diem,torus,Gaming,8,16,10,2023,hop,10 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit
Diem,torus,Gaming,8,16,10,2023,hop,40 nodes,0,11,11,11,0,0,0,11,0,11,11,11,11,11,all_positive_commit
Diem,torus,PayPal,8,16,10,2023,hop,10 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit
Diem,torus,PayPal,8,16,10,2023,hop,40 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit
Diem,torus,VISA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Diem,torus,VISA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,fat-tree,DDoS,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,fat-tree,FIFA,8,16,10,2023,hop,10 nodes,0,14,14,14,0,0,0,14,0,14,14,14,14,14,all_positive_commit
Ethereum,fat-tree,FIFA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,fat-tree,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,fat-tree,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,fat-tree,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,fat-tree,Gaming,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,fat-tree,PayPal,8,16,10,2023,hop,10 nodes,0,14,14,14,0,0,0,14,0,14,14,14,14,14,all_positive_commit
Ethereum,fat-tree,PayPal,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,fat-tree,VISA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,fat-tree,VISA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,full mesh,DDoS,8,16,10,2023,hop,10 nodes,0,11,11,11,0,0,0,11,0,11,11,11,11,11,all_positive_commit
Ethereum,full mesh,DDoS,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,full mesh,FIFA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,full mesh,FIFA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,full mesh,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,full mesh,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
Ethereum,full mesh,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit
